date,season,team,player,transaction_type,direction,method,source_url,notes
2022-07-06,2022-23,NOP,Zion Williamson,extension,in,"signed 5-yr rookie-max extension, base $193M rising to $231M under supermax/All-NBA criteria; only first two years fully guaranteed, remainder tied to games-played and weight/body-fat incentives",https://www.nba.com/news/zion-williamson-pelicans-contract-extension,ANCHOR -- Zion's contract situation
2023-02-09,2022-23,NOP,Josh Richardson,trade,in,acquired from San Antonio for Devonte' Graham and four future 2nd-rd picks,https://www.basketball-reference.com/teams/NOP/2023_transactions.html,
2023-02-09,2022-23,NOP,Devonte' Graham,traded_away,out,traded to San Antonio (w/ four future 2nd-rd picks) for Josh Richardson,https://www.basketball-reference.com/teams/NOP/2023_transactions.html,
2023-06-22,2023-24,NOP,Jordan Hawkins,draft,in,1st round pick #14 (2023 NBA Draft),https://www.basketball-reference.com/teams/NOP/2023_transactions.html,ANCHOR
2024-01-17,2023-24,NOP,Kira Lewis Jr.,traded_away,out,traded to Indiana (w/ a 2024 2nd-rd pick) for cash; NOP received a trade exception,https://www.basketball-reference.com/teams/NOP/2024_transactions.html,BBR page text corrupted for this entry; player/team confirmed via web search cross-reference
2024-06-26,2024-25,NOP,Yves Missi,draft,in,1st round pick #21 (2024 NBA Draft),https://www.basketball-reference.com/teams/NOP/2024_transactions.html,ANCHOR
2024-06-27,2024-25,NOP,Antonio Reeves,trade,in,acquired from Orlando for two future 2nd-rd pick swap rights (2030 and 2031),https://www.basketball-reference.com/teams/NOP/2025_transactions.html,Also appears in ORL CSV (Reeves traded away by ORL)
2024-07-06,2024-25,NOP,Dejounte Murray,trade,in,"acquired from Atlanta for Dyson Daniels, E.J. Liddell, Larry Nance Jr., Cody Zeller, a 2025 1st-rd pick, and a 2027 1st-rd pick",https://www.basketball-reference.com/teams/NOP/2025_transactions.html,ANCHOR
2024-07-06,2024-25,NOP,Dyson Daniels,traded_away,out,traded to Atlanta in Dejounte Murray trade,https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2024-07-06,2024-25,NOP,E.J. Liddell,traded_away,out,traded to Atlanta in Dejounte Murray trade,https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2024-07-06,2024-25,NOP,Larry Nance Jr.,traded_away,out,traded to Atlanta in Dejounte Murray trade,https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2024-07-06,2024-25,NOP,Cody Zeller,traded_away,out,"signed with NOP same day, then flipped to Atlanta in Dejounte Murray trade",https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2025-06-17,2024-25,NOP,Mojave King,trade,in,acquired from Indiana (w/ a 2025 1st-rd pick) for a 2026 1st-rd pick,https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2025-06-25,2025-26,NOP,Jeremiah Fears,draft,in,1st round pick #7 (2025 NBA Draft),https://www.basketball-reference.com/teams/NOP/2025_transactions.html,ANCHOR
2025-06-25,2025-26,NOP,Asa Newell,draft,in,1st round pick #23 (2025 NBA Draft),https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2025-06-25,2025-26,NOP,Asa Newell,traded_away,out,traded to Atlanta (w/ a 2026 1st-rd pick) for Derik Queen,https://www.basketball-reference.com/teams/NOP/2025_transactions.html,
2025-06-25,2025-26,NOP,Derik Queen,trade,in,acquired from Atlanta for Asa Newell and a 2026 1st-rd pick,https://www.basketball-reference.com/teams/NOP/2025_transactions.html,ANCHOR
2025-07-06,2025-26,NOP,CJ McCollum,traded_away,out,"traded to Washington (3-team trade, w/ Kelly Olynyk and a 2027 2nd-rd pick) for Saddiq Bey, Micah Peavy, Jordan Poole",https://www.basketball-reference.com/teams/NOP/2026_transactions.html,ANCHOR -- CJ McCollum departure
2025-07-06,2025-26,NOP,Kelly Olynyk,traded_away,out,traded to Washington in same CJ McCollum 3-team trade,https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
2025-07-06,2025-26,NOP,Mojave King,traded_away,out,traded to Houston in same 3-team trade,https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
2025-07-06,2025-26,NOP,Saddiq Bey,trade,in,acquired from Washington in same 3-team trade,https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
2025-07-06,2025-26,NOP,Micah Peavy,trade,in,acquired from Washington in same 3-team trade,https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
2025-07-06,2025-26,NOP,Jordan Poole,trade,in,acquired from Washington in same 3-team trade,https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
2026-02-05,2025-26,NOP,Jose Alvarado,traded_away,out,"traded to New York Knicks (w/ Latavious Williams) for Dalen Terry, cash, a 2026 2nd-rd pick, and a 2027 2nd-rd pick",https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
2026-02-05,2025-26,NOP,Dalen Terry,trade,in,acquired from New York Knicks in Jose Alvarado trade,https://www.basketball-reference.com/teams/NOP/2026_transactions.html,
